,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
10,https://www.the-numbers.com/movie/Catch-22,[],"[['Mike Nichols', 'Director'], ['Buck Henry', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$18,000,000 (worldwide box office is 1.4 times production budget)",,"June 24th, 1970 (Wide) by Paramount Pictures",,R,122 minutes,vs. Blood BrotherCreate your own comparison chart…,"World War II, War, Anti-war, Black Comedy, Satire, 1940s, In a Plane, Plane Crash, Sex Crimes, Prostitution, Revenge, Death of a Girlfriend / Boyfriend, AWOL",Based on Fiction Book/Short Story,Black Comedy,Live Action,Historical Fiction,United States,"English, Italian",,,"$24,911,670",,,,
11,https://www.the-numbers.com/movie/Darling-Lili,[],"[['Blake Edwards', 'Director'], ['William Peter Blatty', 'Screenwriter'], ['Blake Edwards', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$22,000,000 (worldwide box office is 0.2 times production budget)",,"June 24th, 1970 (Wide) by Paramount Pictures",,G,136 minutes,vs. CamelotCreate your own comparison chart…,"1910s, World War I, Secret Agent, Undercover, Romance, Love Triangle, Relationships Gone Wrong, Hitmen, Fugitive / On the Run",Original Screenplay,Musical,Live Action,Historical Fiction,United States,English,,,"$5,000,000",,,,
12,https://www.the-numbers.com/movie/Boatniks-The,[],"[['Norman Tokar', 'Director'], ['Arthur Julian', 'Screenwriter'], ['Martin Roth', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"July 1st, 1970 (Wide) by Walt Disney",,G,99 minutes,vs. Bedknobs and BroomsticksCreate your own comparison chart…,"Family Comedy, Romance, Heist, Coast Guard, Father’s Footsteps, Relationships Gone Wrong",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,"$18,607,492",,,,
13,https://www.the-numbers.com/movie/Joe,[],"[['John G. Avildsen', 'Director'], ['Norman Wexler', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"July 15th, 1970 (Wide) by Cannon",,R,107 minutes,"vs. Three Billboards Outside Ebbing, MissouriCreate your own comparison chart…","Crime Drama, Political, Dysfunctional Family, Death of a Son or Daughter, Mass Shooting, Narcotics, Drug Overdose",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,,"$19,319,254",,,,
14,https://www.the-numbers.com/movie/Chisum,[],"[['Andrew V. McLaglen', 'Director']]",100.0% (domestic box office/worldwide),,,"July 29th, 1970 (Wide) by Warner Bros.","May 22nd, 2007 by Warner Home Video",G,111 minutes,Create your own comparison chart…,,Original Screenplay,Western,Live Action,Historical Fiction,United States,"English, Spanish",,,"$6,000,000",,,,
15,https://www.the-numbers.com/movie/Ann-och-Eve-de-Erotiska,"['Gio Petré', 'Marie Liljedahl']","[['Arne Mattsson', 'Director'], ['Ernest Hotch', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"August 3rd, 1970 (Limited), released as Ann and Eve",,Not Rated,104 minutes,Create your own comparison chart…,"Erotic Drama, LGBTQ+, Dwarfism, Holiday",Original Screenplay,Drama,Live Action,Contemporary Fiction,"The Former Yugoslav Republic of Macedonia, Sweden","Serbian, Swedish",,,"$18,000,000",,,,
16,https://www.the-numbers.com/movie/Five-Easy-Pieces,['Jack Nicholson'],"[['Bob Rafelson', 'Director'], ['Adrien Joyce*', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"September 12th, 1970 (Wide) by Sony Pictures","June 30th, 2015 by Criterion",R,98 minutes,Create your own comparison chart…,"Life Drama, Dysfunctional Family, Relationships Gone Wrong, Road Trip, Pregnant Women, 1971 Oscars Best Picture Nominee",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,,"$18,099,091","$151,451","$151,451",,
17,https://www.the-numbers.com/movie/Tora-Tora-Tora,"['Martin Balsam', 'Joseph Cotten', 'E.G. Marshall', 'James Whitmore', 'Jason Robards, Jr.', 'Soh Yamamura', 'Takahiro Tamura', 'Eijiro Tono', 'Koreya Senda']","[['Richard Fleischer', 'Director'], ['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),"$25,000,000 (worldwide box office is 1.2 times production budget)",,"September 23rd, 1970 (Wide) by 20th Century Fox",,G,144 minutes,vs. Pearl HarborCreate your own comparison chart…,"Historical Battles, World War II, War, 1930s, In a Plane, On a Boat, Ensemble, War Drama",Original Screenplay,Drama,Live Action,Historical Fiction,"Japan, United States","English, Japanese",,,"$29,548,291",,,,
18,https://www.the-numbers.com/movie/Owl-and-the-Pussycat-The,[],"[['Herbert Ross', 'Director'], ['Buck Henry', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"November 3rd, 1970 (Wide) by Sony Pictures",,PG Edited for re-rating,95 minutes,vs. G.I. JaneCreate your own comparison chart…,"Romantic Comedy, Evicted, Romance, Relationships Gone Wrong, Aspiring Actress / Actor, Writing and Writers, Film Actor, Prostitution",Based on Play,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,,,"$23,681,338",,,,
19,https://www.the-numbers.com/movie/Ryans-Daughter,[],"[['David Lean', 'Director'], ['Robert Bolt', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"November 9th, 1970 (Wide) by MGM",,R for a sex scene,206 minutes,vs. Diamonds Are ForeverCreate your own comparison chart…,"Romance, World War I, Set in Ireland, Romantic Drama, Relationships Gone Wrong, PTSD, 1910s, Suicide, Falsely Accused",Original Screenplay,Drama,Live Action,Historical Fiction,United Kingdom,English,,"December 18th, 1970 (Limited), released as A Filha de Ryan (Portugal)
January 14th, 1971 (Limited) (Australia)
December 4th, 2020 (Limited) (Australia)
February 24th, 2022 (Wide), released as A Filha de Ryan (Portugal)
","$30,846,306",,,$410,"$30,846,716"
20,https://www.the-numbers.com/movie/Little-Big-Man,"['Martin Balsam', 'Jeff Corey', 'Chief Dan George', 'Faye Dunaway', 'Dustin Hoffman']","[['Arthur Penn', 'Director'], ['Michael Zinberg', 'Director'], ['Matthias Glasner', 'Director'], ['Calder Willingham', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"December 14th, 1970 (Wide)","April 29th, 2003 by Paramount Home Video",PG-13 for intense battle sequences and some sexual content. (2002 re-rating),139 minutes,vs. DelgoCreate your own comparison chart…,"Culture Clash, Old Age Makeup",Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,United States,English,,,"$31,559,552",,,,
21,https://www.the-numbers.com/movie/Love-Story-(1970),"['John Marley', 'Ray Milland', 'Ali MacGraw', ""Ryan O'Neal""]","[['Arthur Hiller', 'Director'], ['Erich Segal', 'Screenwriter'], ['Howard G. Minsky', 'Producer'], ['David Golden', 'Executive Producer'], ['Francis Lai', 'Composer'], ['Erich Segal', 'Story by'], ['Robert C. Jones', 'Editor'], ['Dick Kratina', 'Director of Photography']]",78.0% (domestic box office/worldwide),,,"December 16th, 1970 (Wide) by Paramount PicturesFebruary 9th, 2020 (Special Engagement) by Fathom Events","September 12th, 2017 by Paramount Home Video","PG for language and a love scene.
Rating is for 2000 Re-Release",99 minutes,vs. Gone with the WindCreate your own comparison chart…,"Voiceover/Narration, Terminal Illness, Romance, Non-Chronological, College, Hockey, Dysfunctional Family, Lawyers, Musicians, Romantic Drama, 1971 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,English,,,"$106,397,186",,,"$30,000,000","$136,397,186"
